price,date,postcode,property_type,old_new,duration,district,county
273000,2025-08-08 00:00,SK4 2AG,S,N,F,STOCKPORT,GREATER MANCHESTER
150000,2025-07-23 00:00,OL16 2SF,T,N,L,ROCHDALE,GREATER MANCHESTER
225000,2025-02-24 00:00,M29 8JD,S,N,F,WIGAN,GREATER MANCHESTER
121000,2025-08-06 00:00,M13 0HX,F,N,L,MANCHESTER,GREATER MANCHESTER
251000,2025-08-05 00:00,M33 5FY,T,N,F,TRAFFORD,GREATER MANCHESTER
118000,2025-07-31 00:00,WN7 1RT,T,N,L,WIGAN,GREATER MANCHESTER
247500,2025-07-25 00:00,M3 6AP,T,N,L,SALFORD,GREATER MANCHESTER
430000,2025-07-25 00:00,OL16 2QL,S,N,F,ROCHDALE,GREATER MANCHESTER
105000,2025-07-25 00:00,WN7 4DR,T,N,L,WIGAN,GREATER MANCHESTER
155000,2025-03-31 00:00,M15 5GE,F,N,L,MANCHESTER,GREATER MANCHESTER
15403,2025-07-25 00:00,M23 1LN,T,N,F,MANCHESTER,GREATER MANCHESTER
495000,2025-07-18 00:00,M21 7GP,S,N,F,MANCHESTER,GREATER MANCHESTER
190000,2025-07-31 00:00,WN6 7HX,T,N,L,WIGAN,GREATER MANCHESTER
335000,2025-08-01 00:00,SK8 1BS,T,N,F,STOCKPORT,GREATER MANCHESTER
225500,2025-03-21 00:00,M29 7JA,T,N,L,WIGAN,GREATER MANCHESTER
248000,2025-07-28 00:00,M28 1FY,S,N,F,SALFORD,GREATER MANCHESTER
180000,2025-08-27 00:00,OL8 3JA,T,N,F,OLDHAM,GREATER MANCHESTER
146000,2025-03-26 00:00,BL1 5RW,T,N,F,BOLTON,GREATER MANCHESTER
211000,2025-07-25 00:00,BL3 2JE,S,N,L,BOLTON,GREATER MANCHESTER
200000,2025-08-15 00:00,OL6 8HS,T,N,F,TAMESIDE,GREATER MANCHESTER
133000,2025-07-15 00:00,BL6 6HE,T,N,L,BOLTON,GREATER MANCHESTER
127000,2025-08-04 00:00,OL9 0DA,T,N,L,OLDHAM,GREATER MANCHESTER
240000,2025-08-08 00:00,SK16 4AZ,S,N,F,TAMESIDE,GREATER MANCHESTER
190000,2025-08-19 00:00,M38 0FA,S,N,F,SALFORD,GREATER MANCHESTER
435000,2025-07-29 00:00,WA3 2GS,D,N,F,WIGAN,GREATER MANCHESTER
390000,2025-07-28 00:00,M29 8TD,D,N,F,WIGAN,GREATER MANCHESTER
195000,2025-07-21 00:00,BL3 4TB,S,N,L,BOLTON,GREATER MANCHESTER
255000,2025-07-18 00:00,SK6 7HR,S,N,L,STOCKPORT,GREATER MANCHESTER
310275,2025-08-08 00:00,WA14 4LP,T,N,F,TRAFFORD,GREATER MANCHESTER
285000,2025-08-01 00:00,BL1 7LY,D,N,L,BOLTON,GREATER MANCHESTER
220000,2025-08-04 00:00,M22 1TQ,S,N,F,MANCHESTER,GREATER MANCHESTER
335000,2025-08-07 00:00,BL7 9ET,D,N,L,BOLTON,GREATER MANCHESTER
285000,2025-07-24 00:00,M3 6WP,F,N,L,SALFORD,GREATER MANCHESTER
130000,2025-05-23 00:00,M26 1JW,T,N,L,BURY,GREATER MANCHESTER
140000,2025-06-10 00:00,M11 4PE,O,N,F,MANCHESTER,GREATER MANCHESTER
286000,2025-05-06 00:00,M14 6YH,S,N,L,MANCHESTER,GREATER MANCHESTER
263000,2025-08-01 00:00,M4 1PE,F,N,L,MANCHESTER,GREATER MANCHESTER
305000,2025-07-23 00:00,BL7 9DN,D,N,F,BOLTON,GREATER MANCHESTER
440000,2025-03-24 00:00,WA15 6AD,S,N,F,TRAFFORD,GREATER MANCHESTER
156000,2025-06-26 00:00,OL9 0JL,T,N,L,OLDHAM,GREATER MANCHESTER
200000,2025-03-11 00:00,M6 7WR,S,N,F,SALFORD,GREATER MANCHESTER
243000,2025-01-08 00:00,M34 2PU,S,N,F,TAMESIDE,GREATER MANCHESTER
348800,2025-08-18 00:00,SK8 2DJ,S,N,F,STOCKPORT,GREATER MANCHESTER
375000,2025-08-05 00:00,WA14 2BG,F,N,L,TRAFFORD,GREATER MANCHESTER
275000,2025-08-13 00:00,OL4 3AA,S,N,F,OLDHAM,GREATER MANCHESTER
269000,2025-07-31 00:00,M33 3WH,F,N,L,TRAFFORD,GREATER MANCHESTER
260000,2025-08-04 00:00,SK6 6EQ,S,N,F,STOCKPORT,GREATER MANCHESTER
255000,2025-08-05 00:00,SK7 1BE,F,N,L,STOCKPORT,GREATER MANCHESTER
250000,2025-07-25 00:00,BL3 3AB,S,N,F,BOLTON,GREATER MANCHESTER
162000,2025-08-06 00:00,BL3 3DH,T,N,L,BOLTON,GREATER MANCHESTER
225000,2025-03-31 00:00,M29 7NF,T,N,F,WIGAN,GREATER MANCHESTER
260000,2025-07-24 00:00,M24 4EN,S,N,F,ROCHDALE,GREATER MANCHESTER
751000,2025-08-11 00:00,SK15 3NS,S,N,F,TAMESIDE,GREATER MANCHESTER
425000,2025-08-13 00:00,SK2 5EA,D,N,L,STOCKPORT,GREATER MANCHESTER
240000,2025-08-01 00:00,SK3 9JW,T,N,F,STOCKPORT,GREATER MANCHESTER
400000,2025-08-04 00:00,BL8 3EA,D,N,L,BURY,GREATER MANCHESTER
290000,2025-07-03 00:00,M28 3AN,S,N,F,SALFORD,GREATER MANCHESTER
270000,2025-07-04 00:00,M21 8AP,F,N,L,MANCHESTER,GREATER MANCHESTER
330000,2025-08-01 00:00,BL2 3BU,D,N,L,BOLTON,GREATER MANCHESTER
120000,2025-07-18 00:00,OL4 2QE,T,N,L,OLDHAM,GREATER MANCHESTER
985000,2025-08-15 00:00,SK7 1HL,S,N,F,STOCKPORT,GREATER MANCHESTER
355000,2025-08-08 00:00,M20 1DE,S,N,F,MANCHESTER,GREATER MANCHESTER
240000,2025-06-23 00:00,M28 1HL,S,N,L,SALFORD,GREATER MANCHESTER
240000,2025-07-28 00:00,SK6 2LQ,T,N,F,STOCKPORT,GREATER MANCHESTER
200000,2025-07-11 00:00,BL6 5GY,S,N,L,BOLTON,GREATER MANCHESTER
220000,2025-08-21 00:00,SK5 7NN,T,N,F,STOCKPORT,GREATER MANCHESTER
151000,2025-07-10 00:00,M3 5AS,F,N,L,SALFORD,GREATER MANCHESTER
465160,2025-05-23 00:00,M20 1JX,T,N,F,MANCHESTER,GREATER MANCHESTER
185000,2025-07-25 00:00,WA15 7UU,F,N,L,TRAFFORD,GREATER MANCHESTER
170000,2025-07-18 00:00,SK16 4TA,T,N,F,TAMESIDE,GREATER MANCHESTER
